Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      6.31     0.00  1304630     0.00     0.00  std::move_iterator<unsigned char*>::move_iterator(unsigned char*)
  0.00      6.31     0.00  1304630     0.00     0.00  unsigned char* std::__miter_base<unsigned char*>(unsigned char*)
  0.00      6.31     0.00  1304373     0.00     0.00  std::__detail::_Node_iterator<std::pair<unsigned short const, std::vector<unsigned short, std::allocator<unsigned short> > >, false, false>::operator->() const
  0.00      6.31     0.00  1304336     0.00     0.00  unsigned char* std::__niter_wrap<unsigned char*>(unsigned char* const&, unsigned char*)
  0.00      6.31     0.00  1304288     0.00     0.00  bool std::__detail::operator!=<std::pair<unsigned short const, std::vector<unsigned short, std::allocator<unsigned short> > >, false>(std::__detail::_Node_iterator_base<std::pair<unsigned short const, std::vector<unsigned short, std::allocator<unsigned short> > >, false> const&, std::__detail::_Node_iterator_base<std::pair<unsigned short const, std::vector<unsigned short, std::allocator<unsigned short> > >, false> const&)
  0.00      6.31     0.00  1304086     0.00     0.00  std::allocator<unsigned char>::allocator(std::allocator<unsigned char> const&)
  0.00      6.31     0.00  1304070     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > >::base() const
  0.00      6.31     0.00  1303990     0.00     0.00  std::_Head_base<0ul, unsigned char, false>::_M_head(std::_Head_base<0ul, unsigned char, false>&)
  0.00      6.31     0.00  1303990     0.00     0.00  std::_Head_base<1ul, unsigned short, false>::_M_head(std::_Head_base<1ul, unsigned short, false>&)
  0.00      6.31     0.00  1303990     0.00     0.00  std::_Tuple_impl<0ul, unsigned char, unsigned short, unsigned short>::_M_head(std::_Tuple_impl<0ul, unsigned char, unsigned short, unsigned short>&)
  0.00      6.31     0.00  1303990     0.00     0.00  unsigned char& std::__get_helper<0ul, unsigned char, unsigned short, unsigned short>(std::_Tuple_impl<0ul, unsigned char, unsigned short, unsigned short>&)
  0.00      6.31     0.00  1303990     0.00     0.00  unsigned short& std::__get_helper<1ul, unsigned short, unsigned short>(std::_Tuple_impl<1ul, unsigned short, unsigned short>&)
  0.00      6.31     0.00  1303990     0.00     0.00  std::tuple_element<1ul, std::tuple<unsigned char, unsigned short, unsigned short> >::type& std::get<1ul, unsigned char, unsigned short, unsigned short>(std::tuple<unsigned char, unsigned short, unsigned short>&)
  0.00      6.31     0.00  1303696     0.00     0.00  unsigned char* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<unsigned char>(unsigned char const*, unsigned char const*, unsigned char*)
  0.00      6.31     0.00  1303673     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >::difference_type __gnu_cxx::operator-<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >(__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > > const&, __gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > > const&)
  0.00      6.31     0.00  1303670     0.00     0.00  unsigned char* std::__copy_move_a1<false, unsigned char*, unsigned char*>(unsigned char*, unsigned char*, unsigned char*)
  0.00      6.31     0.00  1303670     0.00     0.00  unsigned char* std::__copy_move_a2<false, unsigned char*, unsigned char*>(unsigned char*, unsigned char*, unsigned char*)
  0.00      6.31     0.00   653466     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      6.31     0.00   652649     0.00     0.00  std::allocator_traits<std::allocator<unsigned char> >::max_size(std::allocator<unsigned char> const&)
  0.00      6.31     0.00   652649     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::_S_max_size(std::allocator<unsigned char> const&)
  0.00      6.31     0.00   652406     0.00     0.00  std::_Vector_base<unsigned char, std::allocator<unsigned char> >::_M_deallocate(unsigned char*, unsigned long)
  0.00      6.31     0.00   652403     0.00     0.00  void std::_Destroy_aux<true>::__destroy<unsigned char*>(unsigned char*, unsigned char*)
  0.00      6.31     0.00   652403     0.00     0.00  void std::_Destroy<unsigned char*>(unsigned char*, unsigned char*)
  0.00      6.31     0.00   652403     0.00     0.00  void std::_Destroy<unsigned char*, unsigned char>(unsigned char*, unsigned char*, std::allocator<unsigned char>&)
  0.00      6.31     0.00   652346     0.00     0.00  __gnu_cxx::new_allocator<unsigned char>::deallocate(unsigned char*, unsigned long)
  0.00      6.31     0.00   652346     0.00     0.00  __gnu_cxx::new_allocator<unsigned char>::allocate(unsigned long, void const*)
  0.00      6.31     0.00   652346     0.00     0.00  __gnu_cxx::new_allocator<unsigned char>::_M_max_size() const
  0.00      6.31     0.00   652346     0.00     0.00  std::_Vector_base<unsigned char, std::allocator<unsigned char> >::_M_allocate(unsigned long)
  0.00      6.31     0.00   652346     0.00     0.00  std::allocator_traits<std::allocator<unsigned char> >::deallocate(std::allocator<unsigned char>&, unsigned char*, unsigned long)
  0.00      6.31     0.00   652346     0.00     0.00  std::allocator_traits<std::allocator<unsigned char> >::allocate(std::allocator<unsigned char>&, unsigned long)
  0.00      6.31     0.00   652315     0.00     0.00  unsigned char* std::__copy_move<true, true, std::random_access_iterator_tag>::__copy_m<unsigned char>(unsigned char const*, unsigned char const*, unsigned char*)
